Symbol,Name,Sector,Token,nGram
A,"Agilent Technologies, Inc.",Capital Goods,agilent technologies,agilent_technologies
AA,Alcoa Corporation,Basic Industries,alcoa,alcoa
AABA,Altaba Inc.,Technology,altaba,altaba
AAC,"AAC Holdings, Inc.",Health Care,aac holdings,aac_holdings
AAL,"American Airlines Group, Inc.",Transportation,american airlines group,american_airlines_group
AAME,Atlantic American Corporation,Finance,atlantic american,atlantic_american
AAN,"Aaron&#39;s,  Inc.",Technology,aaron 39 s,aaron_39_s
AAOI,"Applied Optoelectronics, Inc.",Technology,applied optoelectronics,applied_optoelectronics
AAON,"AAON, Inc.",Capital Goods,aaon inc,aaon_inc
AAP,Advance Auto Parts Inc,Consumer Services,advance auto parts,advance_auto_parts
AAPL,Apple Inc.,Technology,apple,apple
AAT,"American Assets Trust, Inc.",Consumer Services,american assets trust,american_assets_trust
AAWW,Atlas Air Worldwide Holdings,Transportation,atlas air worldwide,atlas_air_worldwide
AAXN,"Axon Enterprise, Inc.",Capital Goods,axon enterprise,axon_enterprise
AB,AllianceBernstein Holding L.P.,Finance,alliancebernstein,alliancebernstein
ABAC,"Renmin Tianli Group, Inc.",Consumer Non-Durables,renmin tianli group,renmin_tianli_group
ABB,ABB Ltd,Consumer Durables,abb ltd,abb_ltd
ABBV,AbbVie Inc.,Health Care,abbvie,abbvie
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,amerisourcebergen,amerisourcebergen
ABCB,Ameris Bancorp,Finance,ameris bancorp,ameris_bancorp
ABCD,"Cambium Learning Group, Inc.",Consumer Services,cambium learning group,cambium_learning_group
ABEO,Abeona Therapeutics Inc.,Health Care,abeona therapeutics,abeona_therapeutics
ABEV,Ambev S.A.,Consumer Non-Durables,ambev s a,ambev_s_a
ABG,Asbury Automotive Group Inc,Consumer Durables,asbury automotive group,asbury_automotive_group
ABIL,Ability Inc.,Consumer Durables,ability,ability
ABIO,"ARCA biopharma, Inc.",Health Care,arca biopharma,arca_biopharma
ABM,ABM Industries Incorporated,Finance,abm industries,abm_industries
ABMD,"ABIOMED, Inc.",Health Care,abiomed,abiomed
ABR,Arbor Realty Trust,Consumer Services,arbor realty trust,arbor_realty_trust
ABT,Abbott Laboratories,Health Care,abbott laboratories,abbott_laboratories
ABTX,"Allegiance Bancshares, Inc.",Finance,allegiance bancshares,allegiance_bancshares
ABUS,Arbutus Biopharma Corporation,Health Care,arbutus biopharma,arbutus_biopharma
ABX,Barrick Gold Corporation,Basic Industries,barrick gold,barrick_gold
AC,"Associated Capital Group, Inc.",Finance,associated capital group,associated_capital_group
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,acadia pharmaceuticals,acadia_pharmaceuticals
ACB,Aurora Cannabis Inc.,Consumer Durables,aurora cannabis,aurora_cannabis
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,atlantic capital bancshares,atlantic_capital_bancshares
ACC,American Campus Communities Inc,Consumer Services,american campus communities,american_campus_communities
ACCO,Acco Brands Corporation,Consumer Durables,acco brands,acco_brands
ACER,Acer Therapeutics Inc.,Health Care,acer therapeutics,acer_therapeutics
ACET,Aceto Corporation,Health Care,aceto,aceto
ACGL,Arch Capital Group Ltd.,Finance,arch capital group,arch_capital_group
ACH,Aluminum Corporation of China Limited,Basic Industries,aluminum,aluminum
ACHC,"Acadia Healthcare Company, Inc.",Health Care,acadia healthcare,acadia_healthcare
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,achillion pharmaceuticals,achillion_pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",Health Care,achieve life sciences,achieve_life_sciences
ACIA,"Acacia Communications, Inc.",Technology,acacia communications,acacia_communications
ACIU,AC Immune SA,Health Care,ac immune sa,ac_immune_sa
ACIW,"ACI Worldwide, Inc.",Technology,aci worldwide,aci_worldwide
ACLS,"Axcelis Technologies, Inc.",Technology,axcelis technologies,axcelis_technologies
ACM,AECOM,Consumer Services,aecom,aecom
ACN,Accenture plc,Miscellaneous,accenture plc,accenture_plc
ACNB,ACNB Corporation,Finance,acnb corporation,acnb_corporation
ACOR,"Acorda Therapeutics, Inc.",Health Care,acorda therapeutics,acorda_therapeutics
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,ares commercial real estate,ares_commercial_real_estate
ACRS,"Aclaris Therapeutics, Inc.",Health Care,aclaris therapeutics,aclaris_therapeutics
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,acelrx pharmaceuticals,acelrx_pharmaceuticals
ACST,"Acasti Pharma, Inc.",Health Care,acasti pharma,acasti_pharma
ACTG,Acacia Research Corporation,Miscellaneous,acacia research,acacia_research
ADAP,Adaptimmune Therapeutics plc,Health Care,adaptimmune therapeutics plc,adaptimmune_therapeutics_plc
ADBE,Adobe Inc.,Technology,adobe,adobe
ADC,Agree Realty Corporation,Consumer Services,agree realty,agree_realty
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,advanced emissions solutions,advanced_emissions_solutions
ADI,"Analog Devices, Inc.",Technology,analog devices,analog_devices
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,archer daniels midl,archer_daniels_midl
ADMA,ADMA Biologics Inc,Health Care,adma biologics,adma_biologics
ADMP,Adamis Pharmaceuticals Corporation,Health Care,adamis pharmaceuticals,adamis_pharmaceuticals
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,adamas pharmaceuticals,adamas_pharmaceuticals
ADNT,Adient plc,Capital Goods,adient plc,adient_plc
ADOM,"ADOMANI, Inc.",Capital Goods,adomani,adomani
ADP,"Automatic Data Processing, Inc.",Technology,automatic data processing,automatic_data_processing
ADRO,"Aduro Biotech, Inc.",Health Care,aduro biotech,aduro_biotech
ADS,Alliance Data Systems Corporation,Miscellaneous,alliance data systems,alliance_data_systems
ADSK,"Autodesk, Inc.",Technology,autodesk,autodesk
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,advanced disposal services,advanced_disposal_services
ADTN,"ADTRAN, Inc.",Public Utilities,adtran,adtran
ADUS,Addus HomeCare Corporation,Health Care,addus homecare,addus_homecare
ADVM,"Adverum Biotechnologies, Inc.",Health Care,adverum biotechnologies,adverum_biotechnologies
ADXS,"Advaxis, Inc.",Health Care,advaxis,advaxis
AEE,Ameren Corporation,Public Utilities,ameren,ameren
AEG,Aegon NV,Finance,aegon nv,aegon_nv
AEGN,Aegion Corp,Basic Industries,aegion,aegion
AEHR,Aehr Test Systems,Capital Goods,aehr test systems,aehr_test_systems
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,advanced energy industries,advanced_energy_industries
AEL,American Equity Investment Life Holding Company,Finance,american equity investment life,american_equity_investment_life
AEM,Agnico Eagle Mines Limited,Basic Industries,agnico eagle mines,agnico_eagle_mines
AEMD,"Aethlon Medical, Inc.",Capital Goods,aethlon medical,aethlon_medical
AEO,"American Eagle Outfitters, Inc.",Consumer Services,american eagle outfitters,american_eagle_outfitters
AEP,"American Electric Power Company, Inc.",Public Utilities,american electric power,american_electric_power
AER,Aercap Holdings N.V.,Technology,aercap,aercap
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,aerie pharmaceuticals,aerie_pharmaceuticals
AES,The AES Corporation,Basic Industries,the aes,the_aes
AET,Aetna Inc.,Health Care,aetna,aetna
AETI,"American Electric Technologies, Inc.",Energy,american electric technologies,american_electric_technologies
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,addvantage technologies group,addvantage_technologies_group
AEYE,"AudioEye, Inc.",Technology,audioeye,audioeye
AEZS,AEterna Zentaris Inc.,Health Care,aeterna zentaris,aeterna_zentaris
AFG,"American Financial Group, Inc.",Finance,american financial group,american_financial_group
AFH,"Atlas Financial Holdings, Inc.",Finance,atlas financial,atlas_financial
AFI,"Armstrong Flooring, Inc.",Consumer Non-Durables,armstrong flooring,armstrong_flooring
AFL,Aflac Incorporated,Finance,aflac,aflac
AFMD,Affimed N.V.,Health Care,affimed n v,affimed_n_v
AFSI,"AmTrust Financial Services, Inc.",Finance,amtrust financial services,amtrust_financial_services
AG,First Majestic Silver Corp.,Basic Industries,first majestic silver,first_majestic_silver
AGCO,AGCO Corporation,Capital Goods,agco corporation,agco_corporation
AGEN,Agenus Inc.,Health Care,agenus,agenus
AGFS,"AgroFresh Solutions, Inc.",Finance,agrofresh solutions,agrofresh_solutions
AGI,Alamos Gold Inc.,Basic Industries,alamos gold,alamos_gold
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,agios pharmaceuticals,agios_pharmaceuticals
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,aeglea biotherapeutics,aeglea_biotherapeutics
AGM,Federal Agricultural Mortgage Corporation,Finance,federal agricultural mortgage,federal_agricultural_mortgage
AGN,Allergan plc.,Health Care,allergan plc,allergan_plc
AGO,Assured Guaranty Ltd.,Finance,assured guaranty,assured_guaranty
AGR,"Avangrid, Inc.",Public Utilities,avangrid,avangrid
AGRO,Adecoagro S.A.,Consumer Non-Durables,adecoagro s a,adecoagro_s_a
AGRX,"Agile Therapeutics, Inc.",Health Care,agile therapeutics,agile_therapeutics
AGTC,Applied Genetic Technologies Corporation,Health Care,applied genetic technologies,applied_genetic_technologies
AGX,"Argan, Inc.",Basic Industries,argan,argan
AGYS,"Agilysys, Inc.",Technology,agilysys,agilysys
AHC,A.H. Belo Corporation,Consumer Services,a h belo,a_h_belo
AHH,"Armada Hoffler Properties, Inc.",Finance,armada hoffler properties,armada_hoffler_properties
AHL,Aspen Insurance Holdings Limited,Finance,aspen insurance,aspen_insurance
AHPI,"Allied Healthcare Products, Inc.",Health Care,allied healthcare products,allied_healthcare_products
AHT,Ashford Hospitality Trust Inc,Consumer Services,ashford hospitality trust,ashford_hospitality_trust
AI,Arlington Asset Investment Corp,Finance,arlington asset investment,arlington_asset_investment
AIG,"American International Group, Inc.",Finance,american international group,american_international_group
AIMT,"Aimmune Therapeutics, Inc.",Health Care,aimmune therapeutics,aimmune_therapeutics
AIN,Albany International Corporation,Basic Industries,albany international,albany_international
AIPT,Precision Therapeutics Inc.,Health Care,precision therapeutics,precision_therapeutics
AIR,AAR Corp.,Capital Goods,aar corp,aar_corp
AIRG,"Airgain, Inc.",Technology,airgain,airgain
AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,applied industrial technologies,applied_industrial_technologies
AIV,Apartment Investment and Management Company,Consumer Services,apartment investment and management,apartment_investment_and_management
AIZ,"Assurant, Inc.",Finance,assurant,assurant
AJG,Arthur J. Gallagher & Co.,Finance,arthur j gallagher,arthur_j_gallagher
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,aerojet rocketdyne,aerojet_rocketdyne
AJX,Great Ajax Corp.,Consumer Services,great ajax,great_ajax
