Symbol,Name,Sector,Token,nGram
MMM,3M Company,Industrials,3M,3M
AOS,A.O. Smith Corp,Industrials,A O Smith,A_O_Smith
ABT,Abbott Laboratories,Health Care,Abbott,Abbott
ABBV,AbbVie Inc.,Health Care,AbbVie,AbbVie
ACN,Accenture plc,Information Technology,Accenture,Accenture
ATVI,Activision Blizzard,Information Technology,Activision,Activision
AYI,Acuity Brands Inc,Industrials,Acuity Brands,Acuity_Brands
ADBE,Adobe Systems Inc,Information Technology,Adobe,Adobe
AAP,Advance Auto Parts,Consumer Discretionary,Advance Auto Parts,Advance_Auto_Parts
AMD,Advanced Micro Devices Inc,Information Technology,AMD,AMD
AES,AES Corp,Utilities,AES,AES
AET,Aetna Inc,Health Care,Aetna,Aetna
AMG,Affiliated Managers Group Inc,Financials,AMG,AMG
AFL,AFLAC Inc,Financials,AFLAC,AFLAC
A,Agilent Technologies Inc,Health Care,Agilent,Agilent
APD,Air Products & Chemicals Inc,Materials,Air Products,Air_Products
AKAM,Akamai Technologies Inc,Information Technology,Akamai,Akamai
ALK,Alaska Air Group Inc,Industrials,Alaska Air,Alaska_Air
ALB,Albemarle Corp,Materials,Albemarle,Albemarle
ARE,Alexandria Real Estate Equities Inc,Real Estate,Alexandria Real Estate,Alexandria_Real_Estate
ALXN,Alexion Pharmaceuticals,Health Care,Alexion,Alexion
ALGN,Align Technology,Health Care,Align Technology,Align_Technology
ALLE,Allegion,Industrials,Allegion,Allegion
AGN,Allergan Plc,Health Care,Allergan,Allergan
ADS,Alliance Data Systems,Information Technology,Alliance Data,Alliance_Data
LNT,Alliant Energy Corp,Utilities,Alliant Energy,Alliant_Energy
ALL,Allstate Corp,Financials,Allstate,Allstate
GOOGL,Alphabet Inc Class A,Information Technology,Google,Google
MO,Altria Group Inc,Consumer Staples,Altria,Altria
AMZN,Amazon.com Inc,Consumer Discretionary,Amazon,Amazon
AEE,Ameren Corp,Utilities,Ameren,Ameren
AAL,American Airlines Group,Industrials,American Airlines,American_Airlines
AEP,American Electric Power,Utilities,American Electric Power,American_Electric_Power
AXP,American Express Co,Financials,American Express,American_Express
AIG,American International Group Inc.,Financials,AIG,AIG
AMT,American Tower Corp A,Real Estate,American Tower,American_Tower
AWK,American Water Works Company Inc,Utilities,American Water,American_Water
AMP,Ameriprise Financial,Financials,Ameriprise,Ameriprise
ABC,AmerisourceBergen Corp,Health Care,AmerisourceBergen,AmerisourceBergen
AME,AMETEK Inc,Industrials,AMETEK,AMETEK
AMGN,Amgen Inc,Health Care,Amgen,Amgen
APH,Amphenol Corp,Information Technology,Amphenol,Amphenol
APC,Anadarko Petroleum Corp,Energy,Anadarko,Anadarko
ADI,Analog Devices Inc.,Information Technology,Analog Devices,Analog_Devices
ANDV,Andeavor,Energy,Andeavor,Andeavor
ANSS,ANSYS,Information Technology,ANSYS,ANSYS
ANTM,Anthem Inc.,Health Care,Anthem,Anthem
AON,Aon plc,Financials,Aon,Aon
APA,Apache Corporation,Energy,Apache,Apache
AIV,Apartment Investment & Management,Real Estate,Aimco,Aimco
AAPL,Apple Inc.,Information Technology,Apple,Apple
AMAT,Applied Materials Inc,Information Technology,Applied Materials,Applied_Materials
APTV,Aptiv Plc,Consumer Discretionary,Aptiv,Aptiv
ADM,Archer-Daniels-Midland Co,Consumer Staples,ADM,ADM
ARNC,Arconic Inc,Industrials,Arconic,Arconic
AJG,Arthur J. Gallagher & Co.,Financials,Arthur J Gallagher,Arthur_J_Gallagher
AIZ,Assurant Inc,Financials,Assurant,Assurant
T,AT&T Inc,Telecommunication Services,AT&T,AT&T
ADSK,Autodesk Inc,Information Technology,Autodesk,Autodesk
ADP,Automatic Data Processing,Information Technology,ADP,ADP
AZO,AutoZone Inc,Consumer Discretionary,AutoZone,AutoZone
AVB,AvalonBay Communities Inc.,Real Estate,AvalonBay,AvalonBay
AVY,Avery Dennison Corp,Materials,Avery Dennison,Avery_Dennison
BHGE,Baker Hughes a GE Company,Energy,Baker Hughes,Baker_Hughes
BLL,Ball Corp,Materials,Ball Corporation,Ball_Corporation
BAC,Bank of America Corp,Financials,Bank of America,Bank_of_America
BAX,Baxter International Inc.,Health Care,Baxter,Baxter
BBT,BB&T Corporation,Financials,BB&T,BB&T
BDX,Becton Dickinson,Health Care,Becton Dickinson,Becton_Dickinson
BRK/B,Berkshire Hathaway,Financials,Berkshire Hathaway,Berkshire_Hathaway
BBY,Best Buy Co. Inc.,Consumer Discretionary,Best Buy,Best_Buy
BIIB,Biogen Inc.,Health Care,Biogen,Biogen
BLK,BlackRock,Financials,BlackRock,BlackRock
HRB,Block H&R,Financials,H&R Block,H&R_Block
BA,Boeing Company,Industrials,Boeing,Boeing
BWA,BorgWarner,Consumer Discretionary,BorgWarner,BorgWarner
BXP,Boston Properties,Real Estate,Boston Properties,Boston_Properties
BSX,Boston Scientific,Health Care,Boston Scientific,Boston_Scientific
BHF,Brighthouse Financial Inc,Financials,Brighthouse Financial,Brighthouse_Financial
BMY,Bristol-Myers Squibb,Health Care,Bristol Myers Squibb,Bristol_Myers_Squibb
AVGO,Broadcom,Information Technology,Broadcom,Broadcom
BF/B,Brown-Forman Corp.,Consumer Staples,Brown Forman,Brown_Forman
CHRW,C. H. Robinson Worldwide,Industrials,C H Robinson,C_H_Robinson
CA,CA Inc.,Information Technology,CA Technologies,CA_Technologies
COG,Cabot Oil & Gas,Energy,Cabot Oil,Cabot_Oil
CDNS,Cadence Design Systems,Information Technology,Cadence,Cadence
CPB,Campbell Soup,Consumer Staples,Campbell Soup,Campbell_Soup
COF,Capital One Financial,Financials,Capital One,Capital_One
CAH,Cardinal Health Inc.,Health Care,Cardinal Health,Cardinal_Health
KMX,Carmax Inc,Consumer Discretionary,Carmax,Carmax
CCL,Carnival Corp.,Consumer Discretionary,Carnival,Carnival
CAT,Caterpillar Inc.,Industrials,Caterpillar,Caterpillar
CBOE,CBOE Holdings,Financials,CBOE,CBOE
CBG,CBRE Group,Real Estate,CBRE,CBRE
CBS,CBS Corp.,Consumer Discretionary,CBS,CBS
CELG,Celgene Corp.,Health Care,Celgene,Celgene
CNC,Centene Corporation,Health Care,Centene,Centene
CNP,CenterPoint Energy,Utilities,CenterPoint,CenterPoint
CTL,CenturyLink Inc,Telecommunication Services,CenturyLink,CenturyLink
CERN,Cerner,Health Care,Cerner,Cerner
CF,CF Industries Holdings Inc,Materials,CF Industries,CF_Industries
SCHW,Charles Schwab Corporation,Financials,Charles Schwab,Charles_Schwab
CHTR,Charter Communications,Consumer Discretionary,Charter Communications,Charter_Communications
CHK,Chesapeake Energy,Energy,Chesapeake Energy,Chesapeake_Energy
CVX,Chevron Corp.,Energy,Chevron,Chevron
CMG,Chipotle Mexican Grill,Consumer Discretionary,Chipotle,Chipotle
CB,Chubb Limited,Financials,Chubb,Chubb
CHD,Church & Dwight,Consumer Staples,Church & Dwight,Church_&_Dwight
CI,CIGNA Corp.,Health Care,CIGNA,CIGNA
XEC,Cimarex Energy,Energy,Cimarex,Cimarex
CINF,Cincinnati Financial,Financials,Cincinnati Financial,Cincinnati_Financial
CTAS,Cintas Corporation,Industrials,Cintas,Cintas
CSCO,Cisco Systems,Information Technology,Cisco,Cisco
C,Citigroup Inc.,Financials,Citigroup,Citigroup
CFG,Citizens Financial Group,Financials,Citizens Financial,Citizens_Financial
CTXS,Citrix Systems,Information Technology,Citrix,Citrix
CME,CME Group Inc.,Financials,CME Group,CME_Group
CMS,CMS Energy,Utilities,CMS Energy,CMS_Energy
KO,Coca-Cola Company (The),Consumer Staples,Coca Cola,Coca_Cola
CTSH,Cognizant Technology Solutions,Information Technology,Cognizant,Cognizant
CL,Colgate-Palmolive,Consumer Staples,Colgate Palmolive,Colgate_Palmolive
CMCSA,Comcast Corp.,Consumer Discretionary,Comcast,Comcast
CMA,Comerica Inc.,Financials,Comerica,Comerica
CAG,Conagra Brands,Consumer Staples,Conagra,Conagra
CXO,Concho Resources,Energy,Concho,Concho
COP,ConocoPhillips,Energy,ConocoPhillips,ConocoPhillips
ED,Consolidated Edison,Utilities,Con Edison,Con_Edison
STZ,Constellation Brands,Consumer Staples,Constellation Brands,Constellation_Brands
GLW,Corning Inc.,Information Technology,Corning,Corning
COST,Costco Wholesale Corp.,Consumer Staples,Costco,Costco
