,Freq,Token
0,730,3m
1,53,a_o_smith
2,593,abbott
3,123,abbvie
4,313,accenture
5,1078,activision
6,5,acuity_brands
7,4447,adobe
8,65,advance_auto_parts
9,5095,amd
10,364,aes
11,497,aetna
12,177,amg
13,134,aflac
14,177,agilent
15,73,air_products
16,236,akamai
17,86,alaska_air
18,148,albemarle
19,3,alexandria_real_estate
20,87,alexion
21,27,align_technology
22,28,allegion
23,363,allergan
24,59,alliance_data
25,45,alliant_energy
26,570,allstate
27,17909,google
28,229,altria
29,7600,amazon
30,137,ameren
31,1621,american_airlines
32,65,american_electric_power
33,1722,american_express
34,1544,aig
35,27,american_tower
36,68,american_water
37,281,ameriprise
38,40,amerisourcebergen
39,20,ametek
40,262,amgen
41,64,amphenol
42,169,anadarko
43,119,analog_devices
44,33,andeavor
45,198,ansys
46,1192,anthem
47,371,aon
48,1198,apache
49,76,aimco
50,20177,apple
51,63,applied_materials
52,30,aptiv
53,177,adm
54,26,arconic
55,40,arthur_j_gallagher
56,48,assurant
57,6252,at&t
58,812,autodesk
59,203,adp
60,117,autozone
61,7,avalonbay
62,47,avery_dennison
63,204,baker_hughes
64,48,ball_corporation
65,2211,bank_of_america
66,519,baxter
67,145,bb&t
68,38,becton_dickinson
69,650,berkshire_hathaway
70,715,best_buy
71,160,biogen
72,339,blackrock
73,329,h&r_block
74,12752,boeing
75,106,borgwarner
76,49,boston_properties
77,102,boston_scientific
78,18,brighthouse_financial
79,238,bristol_myers_squibb
80,487,broadcom
81,76,brown_forman
82,71,c_h_robinson
83,95,ca_technologies
84,10,cabot_oil
85,248,cadence
86,129,campbell_soup
87,277,capital_one
88,95,cardinal_health
89,54,carmax
90,1793,carnival
91,1669,caterpillar
92,86,cboe
93,58,cbre
94,8521,cbs
95,126,celgene
96,52,centene
97,99,centerpoint
98,592,centurylink
99,70,cerner
100,16,cf_industries
101,85,charles_schwab
102,291,charter_communications
103,55,chesapeake_energy
104,1508,chevron
105,567,chipotle
106,171,chubb
107,62,church_&_dwight
108,333,cigna
109,6,cimarex
110,6,cincinnati_financial
111,29,cintas
112,2386,cisco
113,1833,citigroup
114,75,citizens_financial
115,874,citrix
116,110,cme_group
117,24,cms_energy
118,3593,coca_cola
119,105,cognizant
120,203,colgate_palmolive
121,3132,comcast
122,174,comerica
